selection_mode;model;corruption_type;corruption_level;accuracy;precision;recall;f1_score
all;MLP;data_drift;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;data_drift;0.05;0.9219298245614034;0.9763320467775433;0.8095238095238095;0.8816978721171141
all;MLP;data_drift;0.1;0.9162280701754385;0.982856881787803;0.7880952380952381;0.8699768911993173
all;MLP;data_drift;0.15;0.9083333333333334;0.9800877235646208;0.7690476190476191;0.8572854186376315
all;MLP;data_drift;0.2;0.906140350877193;0.9763268768335124;0.7666666666666667;0.8551825112591558
all;MLP;data_drift;0.25;0.8947368421052632;0.9877734663710273;0.725;0.8307375577601006
all;MLP;data_drift;0.3;0.8899122807017544;0.9913025210084033;0.7083333333333333;0.8223803631687099
all;MLP;data_drift;0.35;0.8741228070175439;0.9792174205105241;0.675;0.789268669794555
all;MLP;data_drift;0.4;0.8719298245614034;0.9791795665634675;0.6690476190476191;0.7864400825693505
all;MLP;data_drift;0.45;0.8565789473684211;0.9668547544409613;0.6392857142857143;0.757608390926811
all;MLP;data_drift;0.5;0.8754385964912281;0.9951838935709902;0.6654761904761906;0.7855285391052468
all;MLP;data_drift;0.55;0.8350877192982455;0.9544130303561346;0.6059523809523809;0.7236678103836897
all;MLP;data_drift;0.6;0.8228070175438595;0.9457017543859649;0.5214285714285715;0.6529700713876987
all;MLP;data_drift;0.65;0.7868421052631579;0.8315496098104793;0.4333333333333333;0.5479409345576994
all;MLP;data_drift;0.7;0.7798245614035088;0.885048309178744;0.4083333333333333;0.5414909023432691
all;MLP;data_drift;0.75;0.7307017543859649;0.7392592592592593;0.2761904761904762;0.37398192610233955
all;MLP;data_drift;0.8;0.7100877192982457;0.6570616883116883;0.2785714285714286;0.3291346383514646
all;MLP;data_drift;0.85;0.6807017543859649;0.531946386946387;0.1392857142857143;0.1999600087420796
all;MLP;data_drift;0.9;0.6807017543859649;0.5870629370629371;0.1392857142857143;0.20052543617814783
all;MLP;data_drift;0.95;0.6197368421052631;0.3185616169544741;0.1285714285714286;0.11204987341883502
all;MLP;feature_swapping;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;feature_swapping;0.05;0.9276315789473685;0.965021275636342;0.8357142857142857;0.8924274303999477
all;MLP;feature_swapping;0.1;0.9201754385964913;0.9673860974345192;0.8130952380952381;0.8794154260883567
all;MLP;feature_swapping;0.15;0.9210526315789475;0.9721971702418459;0.8119047619047619;0.8817367207788255
all;MLP;feature_swapping;0.2;0.906578947368421;0.9751494619881473;0.7690476190476191;0.855389363120296
all;MLP;feature_swapping;0.25;0.9057017543859649;0.9672684685806632;0.7761904761904762;0.8559281833849204
all;MLP;feature_swapping;0.3;0.9039473684210526;0.9798948284923895;0.7571428571428571;0.8492277049290496
all;MLP;feature_swapping;0.35;0.8960526315789474;0.9569695966497969;0.763095238095238;0.8424552707106718
all;MLP;feature_swapping;0.4;0.8789473684210526;0.963617239062741;0.7107142857142856;0.8064204790272915
all;MLP;feature_swapping;0.45;0.8706140350877194;0.9169435772227488;0.6773809523809524;0.773208065064214
all;MLP;feature_swapping;0.5;0.8521929824561404;0.9809912787978803;0.6154761904761905;0.7287292042302951
all;MLP;feature_swapping;0.55;0.8228070175438595;0.89822029109251;0.5654761904761905;0.6600113209813798
all;MLP;feature_swapping;0.6;0.8004385964912281;0.9184633997798308;0.4797619047619047;0.5751023577973537
all;MLP;feature_swapping;0.65;0.781140350877193;0.8433961666706594;0.44642857142857145;0.5330401045240782
all;MLP;feature_swapping;0.7;0.7679824561403509;0.8638375318638477;0.40714285714285714;0.48821101967889347
all;MLP;feature_swapping;0.75;0.7210526315789474;0.7042354495805699;0.28095238095238095;0.3556609389435291
all;MLP;feature_swapping;0.8;0.6986842105263158;0.5618409903146212;0.27261904761904765;0.3129133976277067
all;MLP;feature_swapping;0.85;0.6460526315789473;0.37911497358073365;0.15476190476190477;0.170113930978609
all;MLP;feature_swapping;0.9;0.6241228070175439;0.3224271692482661;0.11785714285714285;0.11618919293194033
all;MLP;feature_swapping;0.95;0.581140350877193;0.24135100783289748;0.15238095238095237;0.12493175406536243
all;MLP;gaussian_noise;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;gaussian_noise;0.05;0.9364035087719298;0.9581129931498399;0.8666666666666666;0.9078894903233223
all;MLP;gaussian_noise;0.1;0.9473684210526315;0.9764746477246478;0.8785714285714284;0.9240028742180586
all;MLP;gaussian_noise;0.15;0.9289473684210525;0.9633803400760093;0.8440476190476189;0.8972409130953185
all;MLP;gaussian_noise;0.2;0.9285087719298245;0.9674552438661937;0.8357142857142857;0.8946465537808981
all;MLP;gaussian_noise;0.25;0.9280701754385964;0.9373686188381181;0.8702380952380953;0.897950038851587
all;MLP;gaussian_noise;0.3;0.9236842105263158;0.9489918342657401;0.851190476190476;0.8929696142437203
all;MLP;gaussian_noise;0.35;0.9192982456140351;0.9558807477252067;0.8226190476190476;0.8799731891735695
all;MLP;gaussian_noise;0.4;0.9241228070175438;0.9619001548121414;0.8285714285714286;0.886734361388093
all;MLP;gaussian_noise;0.45;0.9223684210526315;0.9555755329328974;0.830952380952381;0.885102854438695
all;MLP;gaussian_noise;0.5;0.8929824561403509;0.9047123085764094;0.8285714285714286;0.8544408394667125
all;MLP;gaussian_noise;0.55;0.9131578947368422;0.9654025654519417;0.7976190476190477;0.8682400318005552
all;MLP;gaussian_noise;0.6;0.9070175438596492;0.9459413933311056;0.8011904761904762;0.8615970537750124
all;MLP;gaussian_noise;0.65;0.9048245614035088;0.9468484500606156;0.7952380952380953;0.8578289083305242
all;MLP;gaussian_noise;0.7;0.8964912280701753;0.9619319979413048;0.7523809523809524;0.8369975498688882
all;MLP;gaussian_noise;0.75;0.8850877192982456;0.9370230113534175;0.7369047619047618;0.814122077765159
all;MLP;gaussian_noise;0.8;0.8640350877192983;0.9143420706455455;0.7071428571428571;0.785681345929478
all;MLP;gaussian_noise;0.85;0.8390350877192982;0.9228230061296074;0.6583333333333333;0.7370360192202996
all;MLP;gaussian_noise;0.9;0.743859649122807;0.7889506943752468;0.4607142857142857;0.521849991842512
all;MLP;gaussian_noise;0.95;0.7697368421052632;0.7890456372869163;0.4321428571428571;0.5133262632844253
all;MLP;missing_features;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;missing_features;0.05;0.9355263157894737;0.9458218957424405;0.8797619047619047;0.9075103565056679
all;MLP;missing_features;0.1;0.9372807017543859;0.9333288667724972;0.9011904761904761;0.912892063413955
all;MLP;missing_features;0.15;0.9355263157894737;0.9163227077903958;0.9142857142857143;0.9108889732902922
all;MLP;missing_features;0.2;0.9241228070175438;0.9049659087224351;0.8976190476190476;0.8963820331247911
all;MLP;missing_features;0.25;0.9153508771929824;0.9013051034007267;0.8761904761904761;0.8830763446935285
all;MLP;missing_features;0.3;0.9210526315789475;0.9071261145694581;0.8833333333333334;0.8902948017368189
all;MLP;missing_features;0.35;0.9092105263157894;0.8893474982791728;0.8714285714285713;0.8761223957313083
all;MLP;missing_features;0.4;0.9162280701754385;0.9030051656457758;0.8702380952380953;0.8827146886804418
all;MLP;missing_features;0.45;0.9083333333333334;0.9083469928820469;0.8476190476190476;0.871088880793442
all;MLP;missing_features;0.5;0.9043859649122806;0.9173589007310191;0.8238095238095238;0.8606246255466441
all;MLP;missing_features;0.55;0.8934210526315789;0.9054406393260882;0.8011904761904761;0.8412804079764881
all;MLP;missing_features;0.6;0.9008771929824562;0.9197453920852464;0.8095238095238095;0.8542791965458493
all;MLP;missing_features;0.65;0.8894736842105264;0.8933161161193022;0.8083333333333333;0.8412663838757242
all;MLP;missing_features;0.7;0.887719298245614;0.908511180039221;0.7821428571428571;0.8332124592745196
all;MLP;missing_features;0.75;0.8701754385964913;0.9150572748698623;0.7273809523809524;0.802588385108279
all;MLP;missing_features;0.8;0.8210526315789475;0.8251060617810546;0.7535714285714286;0.7586425286587755
all;MLP;missing_features;0.85;0.8087719298245615;0.7762525188859816;0.6535714285714286;0.672825539423204
all;MLP;missing_features;0.9;0.8074561403508772;0.7832123281136487;0.7392857142857143;0.7345776003082577
all;MLP;missing_features;0.95;0.7078947368421052;0.563156771286767;0.4309523809523809;0.4483104296616343
all;MLP;outliers;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;outliers;0.05;0.9285087719298245;0.9710406935743906;0.8333333333333334;0.8922294591756292
all;MLP;outliers;0.1;0.9214912280701754;0.9612745775925784;0.825;0.882692275656996
all;MLP;outliers;0.15;0.9201754385964913;0.975098725396713;0.805952380952381;0.8783759943929784
all;MLP;outliers;0.2;0.9052631578947368;0.9603296637526514;0.7833333333333333;0.8538666410966093
all;MLP;outliers;0.25;0.9171052631578946;0.9903907018699039;0.7833333333333333;0.8713744192189627
all;MLP;outliers;0.3;0.9074561403508772;0.9676042468245569;0.7785714285714286;0.8589492062140185
all;MLP;outliers;0.35;0.8991228070175439;0.9648894000736107;0.7619047619047619;0.8468649372167787
all;MLP;outliers;0.4;0.8758771929824561;0.9696928403768574;0.694047619047619;0.7944024830148264
all;MLP;outliers;0.45;0.8679824561403509;0.9686956870633564;0.6714285714285715;0.7821645213003763
all;MLP;outliers;0.5;0.8789473684210526;0.9663232608026128;0.7023809523809523;0.8052187526778903
all;MLP;outliers;0.55;0.8175438596491228;0.9004074165610023;0.5797619047619047;0.6816587667763212
all;MLP;outliers;0.6;0.8210526315789475;0.925383681031948;0.5345238095238095;0.6408975928722882
all;MLP;outliers;0.65;0.7925438596491228;0.8676251526251526;0.4583333333333333;0.5420601341304631
all;MLP;outliers;0.7;0.7070175438596491;0.6185130992196209;0.30952380952380953;0.36136696317916145
all;MLP;outliers;0.75;0.7228070175438597;0.6487054263565891;0.30476190476190473;0.376452999776071
all;MLP;outliers;0.8;0.6802631578947368;0.5652696078431372;0.24523809523809526;0.2884075323522212
all;MLP;outliers;0.85;0.6368421052631579;0.39303089919550555;0.15119047619047618;0.17898522027996283
all;MLP;outliers;0.9;0.6153508771929824;0.3784977079657931;0.12738095238095237;0.12492905153303413
all;MLP;outliers;0.95;0.5864035087719298;0.2751181002905141;0.14285714285714285;0.1276903607449494
all;MLP;random_feature_drop;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;random_feature_drop;0.05;0.8451754385964912;0.7602994778652674;0.7404761904761905;0.7265408947051579
all;MLP;random_feature_drop;0.1;0.6807017543859649;0.3386095633078945;0.27142857142857146;0.24759262720002906
all;MLP;random_feature_drop;0.15;0.7048245614035087;0.6584803535141399;0.6642857142857144;0.5802657208808737
all;MLP;random_feature_drop;0.2;0.6421052631578947;0.30860428719281985;0.4654761904761905;0.34680897023985124
all;MLP;random_feature_drop;0.25;0.631140350877193;0.3579314245705057;0.3559523809523809;0.27203474320128485
all;MLP;random_feature_drop;0.3;0.5885964912280702;0.272757012724118;0.4119047619047619;0.29651873905303355
all;MLP;random_feature_drop;0.35;0.6030701754385965;0.24226828132277597;0.35;0.25390092399111924
all;MLP;random_feature_drop;0.4;0.5451754385964912;0.24488143435511853;0.42738095238095236;0.25925021227372846
all;MLP;random_feature_drop;0.45;0.5346491228070176;0.1771360602185083;0.4488095238095238;0.25288326218678614
